symbol,name,sector,industry,marketCap,pe,pb,ps,eps_growth,revenue_growth,ebit,ev,fcf,roic,current_price,ev_ebit,fcf_yield,classification,fair_value,dcf_value_gap,valuation_tag,growth_tag,final_tag
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,41177272320,29.142159,4.130098,5.9359155,0.134,-0.002,2180838912,42947870720,1462736512,0.07521,178.35,19.693279720790308,3.552290935234051,Growth,104.10119236532886,-41.630954659193236,Overvalued,Watchlist,Growth - Watchlist
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,156112175104,26.465815,25.14986,4.5745816,,0.094,15726000128,204683214848,13090124800,0.07037,290.33,13.015592851456448,8.385076174410818,Growth,172.77750562376409,-40.489268892720666,Overvalued,Watchlist,Growth - Watchlist
APH,Amphenol Corporation,Technology,Electronic Components,112928260096,45.32039,10.9603195,6.7309747,0.318,0.477,4452499968,118494568448,1426462464,0.118219994,93.36,26.613041953872507,1.2631580994760463,Growth,40.72619851682653,-56.377250945987015,Overvalued,Momentum,Growth - Momentum
ADI,"Analog Devices, Inc.",Technology,Semiconductors,110296080384,60.23306,3.1503448,11.233317,0.871,0.223,4371051008,115138904064,2982311936,0.02994,222.26,26.341240093805833,2.703914704508961,Growth,103.55985400708514,-53.40598667907624,Overvalued,Momentum,Growth - Momentum
ANSS,"ANSYS, Inc.",Technology,Software - Application,29827293184,50.262222,4.826718,11.547114,0.477,0.082,878038976,28859656192,772483648,0.06059,339.27,32.868308789062226,2.589855013777706,Growth,149.54625066118243,-55.921168785574196,Overvalued,Momentum,Growth - Momentum
AON,Aon plc,Financial Services,Insurance Brokers,80133177344,32.04577,11.449508,4.8990145,-0.172,0.162,5248000000,97721147392,3189374976,0.06008,371.09,18.620645463414633,3.980092992330106,Growth,182.3849918413569,-50.85154764575792,Overvalued,Watchlist,Growth - Watchlist
APA,APA Corporation,Energy,Oil & Gas E&P,6675632128,6.6308246,1.2300532,0.6578274,1.181,0.344,5967000064,13126634496,2278000128,0.082320005,18.5,2.199871686812169,34.12411116012892,Value,91.27484687198634,393.37755065938563,Undervalued,Momentum,Value - Undervalued
APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,76265873408,23.289703,4.591907,3.1273167,-0.703,-0.215,0,96282902528,0,0.01521,133.45,,,Blend,90.24750122403879,-32.37354722814628,Overvalued,Stable,Blend - Stable
AAPL,Apple Inc.,Technology,Consumer Electronics,3045708267520,31.763239,45.60948,7.60731,0.078,0.051,138865999872,3095401594880,97251500032,0.23809999,203.92,22.290564988789136,3.1930668169735132,Blend,103.81140286102435,-49.09209353617872,Overvalued,Watchlist,Blend - Watchlist
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,133808521216,20.284672,7.0571804,4.763734,0.277,0.068,8744999936,133731549184,3740875008,0.15880999,166.74,15.292344215289884,2.795692661427222,Growth,157.45409637385316,-5.5690917753069735,Fair Valued,Momentum,Growth - Momentum
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,14509527040,10.888889,1.6641694,0.73888713,,-0.016,3104999936,22141558784,1634625024,0.05728,66.64,7.130936953423499,11.265873928858262,Value,96.38999901642858,44.642855666909625,Undervalued,Stable,Value - Undervalued
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,35800346624,9.797949,1.7250844,1.9700829,-0.493,0.186,4457999872,35444277248,7810124800,0.03801,95.53,7.950712935327783,21.815779835953357,Value,153.56249557943198,60.7479279592086,Undervalued,Watchlist,Value - Undervalued
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,22782937088,16.697184,1.0290575,0.27168474,-0.57,-0.077,2609999872,34571939840,95125000,0.01791,47.42,13.245954611295858,0.4175273786368101,Value,44.729997585221554,-5.672717028212669,Fair Valued,Stable,Value - Fair Valued
ANET,Arista Networks Inc,Technology,Computer Hardware,122138222592,41.033756,12.076244,16.424053,0.28,0.276,3186673920,113988755456,3057000960,0.15675001,97.25,35.77044853588283,2.50290277287876,Growth,45.50399919519919,-53.20925532627332,Overvalued,Momentum,Growth - Momentum
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,84179984384,50.73457,3.7721736,7.4869914,-0.007,0.101,3720999936,80960135168,2389237504,0.026770001,328.76,21.757628745092244,2.8382489275611222,Growth,102.05999577802669,-68.95607866588797,Overvalued,Watchlist,Growth - Watchlist
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,10316396544,15.871295,1.9754752,0.85461473,-0.367,0.067,1160099968,10429201408,1277987456,0.01705,203.47,8.989916124193876,12.387924897509638,Value,201.91499811452059,-0.7642413552265264,Fair Valued,Watchlist,Value - Fair Valued
T,AT&T Inc.,Communication Services,Telecom Services,202196779008,17.226994,1.9475656,1.6447588,0.296,0.02,44259000320,358456524800,14413375488,0.041739997,28.08,8.099065098811522,7.128390253649752,Value,31.68719975173846,12.846152962031566,Undervalued,Momentum,Value - Undervalued
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,24171812864,21.283915,1.8398336,5.3882847,0.063,0.184,2189750016,32019757056,-1614407040,0.03644,152.18,14.62256276837036,-6.678882751092277,Growth,114.00675580596896,-25.084271385222134,Overvalued,Watchlist,Growth - Watchlist
ADSK,"Autodesk, Inc.",Technology,Software - Application,63725654016,64.05591,24.356855,10.040279,-0.397,0.152,1499000064,64246038528,2230500096,0.08903,297.86,42.85926336558182,3.500160383508931,Growth,73.23750454876061,-75.41210483154481,Overvalued,Watchlist,Growth - Watchlist
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,132659699712,33.450356,22.677814,6.5664663,0.063,0.057,5949100032,134345711616,2908587520,0.055710003,326.81,22.582526918922046,2.1925177927542814,Blend,155.7826604296827,-52.33234587996613,Overvalued,Watchlist,Blend - Watchlist
AZO,"AutoZone, Inc.",Consumer Cyclical,Auto Parts,62200569856,25.189571,-15.650271,3.2907968,-0.036,0.054,4299864064,74213203968,0,0.12982,3719.24,17.25943026649133,,Blend,2325.4874011153265,-37.474123715723465,Overvalued,Watchlist,Blend - Watchlist
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,28922058752,25.267412,2.4241085,9.677033,0.362,0.034,1825577984,37305290752,1227122816,0.029059999,203.15,20.434783437879144,4.242861224099902,Growth,164.25720608030613,-19.144865330885487,Overvalued,Momentum,Growth - Momentum
AVY,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,14061445120,20.698505,6.509717,1.6065265,-0.019,-0.001,1428700032,17285838848,579662528,0.08647,179.87,12.098998012761296,4.12235387652674,Blend,136.86749357018778,-23.907547912276772,Overvalued,Stable,Blend - Stable
AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,61646155776,192.1966,24.11897,27.690107,-0.376,0.313,113022000,61325856768,483596640,0.00677,791.85,542.6010579179275,0.78447168994157,Growth,64.89000065557872,-91.80526606610105,Overvalued,Watchlist,Growth - Watchlist
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,37549428736,12.935154,2.202464,1.3488551,-0.111,0.001,4622000128,40460423168,1716875008,0.05787,37.9,8.753877552467259,4.57230659904546,Value,46.14749851451323,21.76120980082647,Undervalued,Stable,Value - Undervalued
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,14905668608,30.528408,2.729628,1.2402786,-0.946,0.078,1886000000,21582643200,251750000,0.04257,53.73,11.443607211028633,1.6889547635916422,Blend,27.720000990552798,-48.408708374180534,Overvalued,Watchlist,Blend - Watchlist
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,338708660224,13.423882,1.235915,3.4756105,0.184,0.057,0,326655475712,0,0.00841,44.97,,,Value,59.495993781828524,32.30152052886041,Undervalued,Momentum,Value - Undervalued
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,15528676352,,2.1925948,1.4417117,2.379,0.054,1955000064,23516663808,1701500032,0.025,30.26,12.028983651225088,10.957147881962632,Growth,,,Fair Valued,Momentum,Growth - Momentum
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,49711984640,33.67961,1.9695008,2.3823254,-0.422,0.045,5573000192,68299055104,3501750016,0.03687,173.45,12.25534770338655,7.044076074127142,Blend,81.11250397495695,-53.23580053331971,Overvalued,Stable,Blend - Stable
BRK.B,BRK.B,Unknown,Unknown,0,,,,,,0,0,0,,0.0,,,Blend,,,Fair Valued,Stable,Blend - Stable
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,15457310720,17.809755,5.6027007,0.37293258,-0.159,-0.009,2592999936,18384240640,1202499968,0.075100005,73.02,7.089950286832556,7.779490169943353,Blend,64.57500397956065,-11.565319118651532,Overvalued,Stable,Blend - Stable
TECH,Bio-Techne Corporation,Healthcare,Biotechnology,7632985600,58.66265,3.782335,6.3146715,-0.548,0.042,288959008,7915828736,244408752,0.05235,48.69,27.394296480973523,3.2020072460244133,Blend,13.072500134242144,-73.15157088880233,Overvalued,Stable,Blend - Stable
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General,19507273728,13.155139,1.1487023,1.9872127,-0.393,0.061,3080900096,23530149888,3428212480,0.0543,133.13,7.63742710078451,17.574021505010585,Value,159.389992002365,19.725074740753406,Undervalued,Watchlist,Value - Undervalued
BLK,"BlackRock, Inc.",Financial Services,Asset Management,153229557760,24.041079,3.191874,7.3123145,-0.08,0.116,8415000064,161748746240,5569375232,0.036679998,989.05,19.2214789078818,3.6346611668247366,Growth,647.9550065119789,-34.4871334601912,Overvalued,Watchlist,Growth - Watchlist
BX,Blackstone Inc.,Financial Services,Asset Management,170398138368,42.560604,13.609496,13.772067,-0.282,-0.082,0,132419436544,0,0.11889,140.45,,,Blend,51.97500251641166,-62.99394623252997,Overvalued,Stable,Blend - Stable
BK,The Bank of New York Mellon Corporation,Financial Services,Banks - Diversified,64617996288,14.734095,1.710023,3.4329276,0.264,0.061,0,-28106975232,0,0.01082,90.32,,,Value,116.22479697599344,28.681130398575565,Undervalued,Momentum,Value - Undervalued
BA,The Boeing Company,Industrials,Aerospace & Defense,158944477184,,-47.681522,2.288815,,0.177,-7688000000,191175360512,-7940499968,-0.041020002,210.8,,-4.99576966037504,Growth,,,Fair Valued,Watchlist,Growth - Watchlist
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,182701096960,34.964565,-30.038145,7.585365,-0.55,0.079,8499999744,183884300288,7502374912,0.17963,5614.61,21.633447744254426,4.106365553810849,Blend,2529.1350686044566,-54.95439454201705,Overvalued,Watchlist,Blend - Watchlist
BSX,Boston Scientific Corporation,Healthcare,Medical Devices,151037050880,74.51824,6.798748,8.604138,0.364,0.209,4536000000,162252685312,2315000064,0.05283,102.09,35.76999235273369,1.532736537499851,Growth,28.03020307511288,-72.54363495434139,Overvalued,Momentum,Growth - Momentum
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,98518220800,18.063433,5.6653013,2.0681462,,-0.056,19174000640,138066264064,13926124544,0.07237,48.41,7.20070196388603,14.13558266776982,Blend,42.20999961635199,-12.807272017450947,Overvalued,Stable,Blend - Stable
AVGO,Broadcom Inc.,Technology,Semiconductors,1161052422144,90.12044,4.169636,20.352915,1.881,0.164,30927998976,130867232768,26033125376,0.07946,246.93,4.231351432388252,2.242200686160855,Growth,118.40909731466027,-52.047504428518096,Overvalued,Momentum,Growth - Momentum
BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services,28819548160,36.894737,12.070153,4.2582073,0.145,0.049,1684600064,32142354432,1226525056,0.09024,245.35,19.08010994353138,4.255878854139537,Growth,114.21374951121078,-53.448644992373836,Overvalued,Watchlist,Growth - Watchlist
BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,31692457984,30.799444,4.652249,6.5210814,0.127,0.12,1667000064,35079196672,1039500032,0.05683,110.57,21.043308533430267,3.2799602748540164,Growth,60.68894782646076,-45.11264553996494,Overvalued,Watchlist,Growth - Watchlist
BF.B,BF.B,Unknown,Unknown,0,,,,,,0,0,0,,0.0,,,Blend,,,Fair Valued,Stable,Blend - Stable
BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,12336789504,14.311538,2.902345,0.7631019,-0.6,-0.06,1972672000,17330624512,1073425152,0.07772,111.63,8.785355351523213,8.701008894185636,Value,122.85000396183834,10.051065091676382,Undervalued,Stable,Value - Undervalued
BG,Bunge Global SA,Consumer Defensive,Farm Products,10019892224,9.569962,0.9471839,0.19519016,-0.119,-0.132,1790000000,14812891136,-1116625024,0.0313,74.55,8.275358176536313,-11.144082182095934,Value,122.69249344981725,64.57745600243763,Undervalued,Stable,Value - Undervalued
BXP,"BXP, Inc.",Real Estate,REIT - Office,13100191744,,2.205821,3.8562493,-0.24,0.02,1891934976,30306580480,1055764864,0.02461,74.12,16.018827742206717,8.059155809559423,Blend,,,Fair Valued,Stable,Blend - Stable
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,11374430208,22.863962,6.569293,0.65523237,0.426,-0.083,803630976,12973241344,553985856,0.0887,95.8,16.143281843829772,4.870449296091897,Growth,89.62409927028395,-6.4466604694322,Fair Valued,Momentum,Growth - Momentum
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,81079820288,75.177216,16.975363,16.633371,0.099,0.231,1710598016,80649601024,1264132736,0.12727,296.95,47.147021257857,1.5591212850617215,Growth,65.11574929829803,-78.07181367290856,Overvalued,Watchlist,Growth - Watchlist
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,5351016448,,1.345852,0.47366703,,0.019,3628000000,30658019328,21125000,0.04343,25.73,8.450391214994488,0.3947848078077894,Value,,,Fair Valued,Stable,Value - Fair Valued
CPT,Camden Property Trust,Real Estate,REIT - Residential,12375046144,106.26605,2.7324197,7.9212055,-0.537,0.018,886947968,16159292416,687080000,0.02076,115.83,18.218985779332662,5.552140913293712,Blend,17.16750081517098,-85.1787094749452,Overvalued,Stable,Blend - Stable
CPB,The Campbell's Company,Consumer Defensive,Packaged Foods,10279521280,22.986666,2.6549625,1.0053321,-0.5,0.045,1855000064,17403521024,681625024,0.059899997,34.48,9.38195171081137,6.630902407159568,Blend,23.625000685179835,-31.482016574304417,Overvalued,Stable,Blend - Stable
COF,Capital One Financial Corporation,Financial Services,Credit Services,126836940800,16.63644,1.2927345,4.480604,0.102,0.136,0,75698872320,0,0.00999,198.14,,,Growth,196.8722996025592,-0.6398003419000662,Fair Valued,Watchlist,Growth - Watchlist
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,36925718528,24.21127,-12.542359,0.16611806,0.963,0.0,3164999936,42328719360,3518749952,0.03131,154.71,13.374003227783952,9.529266029940096,Value,188.1535313926118,21.616916419502157,Undervalued,Momentum,Value - Undervalued
KMX,"CarMax, Inc.",Consumer Cyclical,Auto & Truck Dealerships,10009932800,20.470404,1.6137428,0.35487005,0.838,0.068,1083725952,29212129280,354984000,0.01806,65.71,26.9552733567831,3.546317513739952,Value,88.49970425595899,34.682246622978234,Undervalued,Momentum,Value - Undervalued
CCL,Carnival Corporation & plc,Consumer Cyclical,Travel Services,32896002048,15.664517,3.4665906,1.2938957,,0.075,6383000064,60458065920,951500032,0.048130002,24.28,9.471731993390122,2.8924488471627177,Blend,24.412498642632904,0.5457110487351867,Fair Valued,Watchlist,Blend - Watchlist
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,60903305216,47.36,4.4091363,2.733051,0.616,-0.037,3232000000,71165288448,4930124800,0.03244,71.04,22.01896300990099,8.095003682500963,Growth,36.36000000000001,-48.81756756756756,Overvalued,Momentum,Growth - Momentum
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,166185811968,17.244999,9.212619,2.6270697,-0.27,-0.098,14789999616,202292609024,6817750016,0.09403,353.35,13.67766154673577,4.102486208216617,Blend,322.7174730482733,-8.669174176235101,Fair Valued,Stable,Blend - Stable
CBOE,"Cboe Global Markets, Inc.",Financial Services,Financial Data & Stock Exchanges,23309115392,29.250986,5.2367845,5.38031,0.209,0.248,1369600000,23759691776,813524992,0.09319,222.6,17.347905794392524,3.490158156234503,Growth,138.0073478548723,-38.002089912456285,Overvalued,Momentum,Growth - Momentum
CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,38327361536,39.318047,4.5814776,1.0431485,0.317,0.123,2256000000,46136262656,1163250048,0.038900003,128.57,20.450471035460993,3.0350381591161346,Growth,64.5988431215823,-49.75589708207023,Overvalued,Momentum,Growth - Momentum
CDW,CDW Corporation,Technology,Information Technology Services,23471536128,22.086742,10.104881,1.100653,0.063,0.067,1985799936,29120761856,957524992,0.07545,178.24,14.664499342596413,4.079515660066814,Blend,128.67614426790513,-27.80736968811427,Overvalued,Watchlist,Blend - Watchlist
COR,"Cencora, Inc.",Healthcare,Medical Distribution,56003219456,33.442127,55.27836,0.18052034,0.761,0.103,4311264256,63957815296,3878175488,0.02974,288.94,14.835048723118678,6.9249152560719525,Growth,228.22561794589203,-21.012799215791507,Overvalued,Momentum,Growth - Momentum
CNC,Centene Corporation,Healthcare,Healthcare Plans,27447781376,8.135693,0.9830514,0.17908591,0.218,0.166,6483999744,28583782400,2509374976,0.03858,55.16,4.408356497307104,9.14235996572811,Value,123.87060327866352,124.56599579163077,Undervalued,Momentum,Value - Undervalued
CNP,"CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Electric,23896373248,24.736486,2.1813738,2.6720757,-0.182,0.114,3361999872,44167385088,-1248875008,0.02971,36.61,13.137235802964362,-5.226211505147646,Growth,23.310000458432132,-36.32887064072075,Overvalued,Watchlist,Growth - Watchlist
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,14927601664,12.187831,3.1739578,2.4355688,0.796,0.131,2784999936,19334602752,1633874944,0.08705,92.14,6.9424068927519,10.945327861610336,Growth,203.66639478345246,121.04015062237082,Undervalued,Momentum,Growth - Momentum
CRL,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research,7107041792,,2.224853,1.7667794,-0.615,-0.027,888742016,9914467328,625616896,0.04265,144.7,11.155619009240135,8.802774970371246,Blend,,,Fair Valued,Stable,Blend - Stable
SCHW,The Charles Schwab Corporation,Financial Services,Capital Markets,160347602944,26.742424,3.9746883,7.8352113,0.454,0.181,0,147615629312,0,0.01393,88.25,,,Growth,71.97300065244646,-18.444191895244806,Overvalued,Momentum,Growth - Momentum
CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services,54763225088,11.061664,3.4250836,0.9931489,0.115,0.004,22151999488,154683392000,3570749952,0.05639,396.45,6.982818507367419,6.520342704912098,Value,599.4239429076855,51.197866794724554,Undervalued,Watchlist,Value - Undervalued
